"Part","Value","Device","Package","Description","MPN","POPULATE",
"C1","1.0uF","CAP_CERAMIC0805","0805","Ceramic Capacitors","C0805C105K4RAC7210","",
"C2","10uF/16V","CAP_CERAMIC0805","0805","Ceramic Capacitors","EMK212ABJ106KG-T","",
"C3","10uF","CAP_CERAMIC0805","0805","Ceramic Capacitors","EMK212ABJ106KG-T","",
"C4","10uF/16V","CAP_CERAMIC0805","0805","Ceramic Capacitors","EMK212ABJ106KG-T","",
"C5","1.0uF","CAP_CERAMIC0805","0805","Ceramic Capacitors","C0805C105K4RAC7210","",
"C6","10uF","CAP_CERAMIC0805","0805","Ceramic Capacitors","EMK212ABJ106KG-T","",
"C7","0.1uF","CAP_CERAMIC0805","0805","Ceramic Capacitors","08051C104J4T4A","",
"D1","1N4148","DIODESOD-323","SOD-323","Diode","1N4148WS-E3-08","",
"D2","1N4148","DIODESOD-323","SOD-323","Diode","1N4148WS-E3-08","",
"D3","BAT54T1G","DIODESOD-123","SOD-123","Diode","BAT54T1G","",
"JP1","","PINHD-1X8CLEANBIG","1X08-CLEANBIG","PIN HEADER","10129378-908001BLF","0",
"JP2","","PINHD-1X8CLEANBIG","1X08-CLEANBIG","PIN HEADER","10129378-908001BLF","0",
"L1","10uH","INDUCTOR","INDUCTOR_1007","Inductors","L0805R100MPWRT","",
"R1","10K","R-US_R0805","R0805","RESISTOR, American symbol","CRCW080510K0FKEAC","",
"R2","600K","R-US_R0805","R0805","RESISTOR, American symbol","ERJ-6ENF5903V","",
"R3","50","R-US_R0805","R0805","RESISTOR, American symbol","CRCW080550R0FKTA","",
"R4","100K","R-US_R0805","R0805","RESISTOR, American symbol","CR0805AFX-1003EAS","",
"R5","10K","R-US_R0805","R0805","RESISTOR, American symbol","CRCW080510K0FKEAC","",
"U1","UG-2828GDEDF11","DISP_OLED_UG-2828GDEDF11TOP","FPC_XF2M-3015-1A","128x128 1.5" RGB OLED - UG-2828GDEDF11","XF2M-3015-1A","",
"U2","FAN5331SX","FAN5331","SOT23-5@1","FAN5331 - LED/OLED 20V Boost Converter","FAN5331SX","",
